roomID | time | ルール | Player1  Player2 Player3
C6529 | 09:43 | 三般南喰赤－ | ソギモギ皇帝(+52.0) Toshi624(+3.0) バラク・オマタ(-55.0)
C6529 | 10:05 | 三般南喰赤－ | バラク・オマタ(+66.0) Toshi624(-11.0) ソギモギ皇帝(-55.0)
C6529 | 10:24 | 三般南喰赤－ | ソギモギ皇帝(+67.0) Toshi624(+26.0) バラク・オマタ(-93.0)
C6529 | 10:41 | 三般南喰赤－ | バラク・オマタ(+53.0) Toshi624(0.0) ソギモギ皇帝(-53.0)
C6529 | 10:58 | 三般南喰赤－ | バラク・オマタ(+93.0) ソギモギ皇帝(-26.0) Toshi624(-67.0)
C6529 | 11:22 | 三般南喰赤－ | バラク・オマタ(+40.0) Toshi624(+2.0) ソギモギ皇帝(-42.0)
C6529 | 11:38 | 三般南喰赤－ | Toshi624(+54.0) ソギモギ皇帝(-6.0) バラク・オマタ(-48.0)
C6529 | 11:57 | 三般南喰赤－ | バラク・オマタ(+49.0) Toshi624(-8.0) ソギモギ皇帝(-41.0)
C6529 | 12:12 | 三般南喰赤－ | Toshi624(+58.0) バラク・オマタ(-18.0) ソギモギ皇帝(-40.0)
C6529 | 12:25 | 三般南喰赤－ | Toshi624(+64.0) ソギモギ皇帝(+10.0) バラク・オマタ(-74.0)
C6529 | 12:49 | 三般南喰赤－ | バラク・オマタ(+42.0) ソギモギ皇帝(-5.0) Toshi624(-37.0)
C6529 | 13:06 | 三般南喰赤－ | Toshi624(+66.0) バラク・オマタ(-11.0) ソギモギ皇帝(-55.0)
C6529 | 13:23 | 三般南喰赤－ | Toshi624(+49.0) バラク・オマタ(+13.0) ソギモギ皇帝(-62.0)
C6529 | 13:32 | 三般南喰赤－ | ソギモギ皇帝(+38.0) Toshi624(-3.0) バラク・オマタ(-35.0)
C6529 | 13:47 | 三般南喰赤－ | バラク・オマタ(+49.0) Toshi624(-6.0) ソギモギ皇帝(-43.0)
C6529 | 14:03 | 三般南喰赤－ | ソギモギ皇帝(+43.0) Toshi624(+1.0) バラク・オマタ(-44.0)
C6529 | 14:19 | 三般南喰赤－ | バラク・オマタ(+56.0) ソギモギ皇帝(-1.0) Toshi624(-55.0)
C6529 | 14:31 | 三般南喰赤－ | バラク・オマタ(+34.0) ソギモギ皇帝(-3.0) Toshi624(-31.0)
C6529 | 14:47 | 三般南喰赤－ | バラク・オマタ(+73.0) ソギモギ皇帝(+13.0) Toshi624(-86.0)
C6529 | 15:06 | 三般南喰赤－ | ソギモギ皇帝(+66.0) Toshi624(+7.0) バラク・オマタ(-73.0)
C6529 | 15:25 | 三般南喰赤－ | Toshi624(+34.0) バラク・オマタ(-3.0) ソギモギ皇帝(-31.0)
C6529 | 15:54 | 三般南喰赤－ | バラク・オマタ(+57.0) ソギモギ皇帝(-15.0) Toshi624(-42.0)
C6529 | 16:09 | 三般南喰赤－ | バラク・オマタ(+44.0) ソギモギ皇帝(+3.0) Toshi624(-47.0)
C6529 | 16:27 | 三般南喰赤－ | ソギモギ皇帝(+39.0) Toshi624(+2.0) バラク・オマタ(-41.0)
C6529 | 16:40 | 三般南喰赤－ | Toshi624(+43.0) ソギモギ皇帝(-9.0) バラク・オマタ(-34.0)
C6529 | 16:52 | 三般南喰赤－ | Toshi624(+41.0) ソギモギ皇帝(-3.0) バラク・オマタ(-38.0)
C6529 | 17:07 | 三般南喰赤－ | Toshi624(+48.0) バラク・オマタ(-3.0) ソギモギ皇帝(-45.0)
C6529 | 17:18 | 三般南喰赤－ | Toshi624(+53.0) ソギモギ皇帝(-5.0) バラク・オマタ(-48.0)
C6529 | 17:39 | 三般南喰赤－ | ソギモギ皇帝(+51.0) バラク・オマタ(-12.0) Toshi624(-39.0)
C6529 | 18:02 | 三般南喰赤－ | バラク・オマタ(+51.0) ソギモギ皇帝(-9.0) Toshi624(-42.0)
C6529 | 19:49 | 三般南喰赤－ | バラク・オマタ(+51.0) 場代負け(+3.0) さかかきばら(-54.0)
C6529 | 22:04 | 三般南喰赤－ | さかかきばら(+52.0) ソギモギ皇帝(-13.0) バラク・オマタ(-39.0)
C6529 | 22:17 | 三般南喰赤－ | さかかきばら(+58.0) ソギモギ皇帝(-13.0) バラク・オマタ(-45.0)
#4/7
C6529 | 21:09 | 三般南喰赤－ | 場代負け(+43.0) 鳥谷タカシ(-7.0) ニートしたい(-36.0)
C6529 | 21:24 | 三般南喰赤－ | 鳥谷タカシ(+64.0) 場代負け(+26.0) ソギモギ皇帝(-90.0)
C6529 | 21:38 | 三般南喰赤－ | ソギモギ皇帝(+44.0) 鳥谷タカシ(-3.0) 場代負け(-41.0)
C6529 | 21:51 | 三般南喰赤－ | さかかきばら(+36.0) 場代負け(-1.0) ソギモギ皇帝(-35.0)
C6529 | 22:03 | 三般南喰赤－ | ソギモギ皇帝(+42.0) 場代負け(-2.0) さかかきばら(-40.0)
C6529 | 22:20 | 三般南喰赤－ | 場代負け(+65.0) ソギモギ皇帝(-9.0) さかかきばら(-56.0)
C6529 | 22:48 | 三般南喰赤－ | バラク・オマタ(+41.0) ニートしたい(+2.0) ソギモギ皇帝(-43.0)

C6529 | 23:02 | 三般南喰赤－ | ソギモギ皇帝(+50.0) バラク・オマタ(-9.0) ニートしたい(-41.0)
C6529 | 23:18 | 三般南喰赤－ | ニートしたい(+59.0) バラク・オマタ(-2.0) ソギモギ皇帝(-57.0)
C6529 | 23:36 | 三般南喰赤－ | バラク・オマタ(+32.0) ソギモギ皇帝(-3.0) ニートしたい(-29.0)
#4/8
C6529 | 20:52 | 三般南喰赤－ | 場代負け(+33.0) バラク・オマタ(-6.0) さかかきばら(-27.0)
C6529 | 21:06 | 三般南喰赤－ | 場代負け(+55.0) バラク・オマタ(-17.0) さかかきばら(-38.0)
C6529 | 21:20 | 三般南喰赤－ | バラク・オマタ(+51.0) 場代負け(-7.0) さかかきばら(-44.0)
C6529 | 22:28 | 三般南喰赤－ | ニートしたい(+69.0) 場代負け(-22.0) ソギモギ皇帝(-47.0)
C6529 | 22:49 | 三般南喰赤－ | ニートしたい(+41.0) 場代負け(-6.0) ソギモギ皇帝(-35.0)
#4/9
C6529 | 18:16 | 三般南喰赤－ | 場代負け(+96.0) 鳥谷タカシ(-2.0) さかかきばら(-94.0)
C6529 | 20:35 | 三般南喰赤－ | 鳥谷タカシ(+44.0) さかかきばら(-11.0) 場代負け(-33.0)
C6529 | 22:00 | 三般南喰赤－ | バラク・オマタ(+40.0) 鳥谷タカシ(-10.0) 場代負け(-30.0)
C6529 | 22:10 | 三般南喰赤－ | バラク・オマタ(+45.0) さかかきばら(+1.0) 場代負け(-46.0)
C6529 | 22:19 | 三般南喰赤－ | さかかきばら(+66.0) 場代負け(-22.0) バラク・オマタ(-44.0)
C6529 | 22:34 | 三般南喰赤－ | 場代負け(+56.0) さかかきばら(-11.0) バラク・オマタ(-45.0)
C6529 | 22:44 | 三般南喰赤－ | 場代負け(+57.0) バラク・オマタ(+4.0) さかかきばら(-61.0)
C6529 | 23:01 | 三般南喰赤－ | 場代負け(+68.0) バラク・オマタ(-21.0) さかかきばら(-47.0)
C6529 | 19:32 | 三般南喰赤－ | ソギモギ皇帝(+37.0) ニートしたい(-5.0) バラク・オマタ(-32.0)
C6529 | 19:42 | 三般南喰赤－ | ソギモギ皇帝(+49.0) バラク・オマタ(+3.0) ニートしたい(-52.0)
C6529 | 19:53 | 三般南喰赤－ | バラク・オマタ(+45.0) ニートしたい(+2.0) ソギモギ皇帝(-47.0)
C6529 | 20:07 | 三般南喰赤－ | ソギモギ皇帝(+46.0) バラク・オマタ(-6.0) 場代負け(-40.0)
C6529 | 20:20 | 三般南喰赤－ | 場代負け(+47.0) ソギモギ皇帝(-3.0) バラク・オマタ(-44.0)
C6529 | 20:40 | 三般南喰赤－ | ソギモギ皇帝(+49.0) 鳥谷タカシ(-2.0) ニートしたい(-47.0)
C6529 | 21:01 | 三般南喰赤－ | さかかきばら(+56.0) ニートしたい(-17.0) ソギモギ皇帝(-39.0)
C6529 | 21:20 | 三般南喰赤－ | ソギモギ皇帝(+36.0) さかかきばら(-3.0) ニートしたい(-33.0)
C6529 | 21:32 | 三般南喰赤－ | ニートしたい(+52.0) さかかきばら(-1.0) ソギモギ皇帝(-51.0)
C6529 | 21:45 | 三般南喰赤－ | ソギモギ皇帝(+40.0) ニートしたい(-8.0) さかかきばら(-32.0)
C6529 | 21:55 | 三般南喰赤－ | ニートしたい(+65.0) ソギモギ皇帝(+1.0) さかかきばら(-66.0)
C6529 | 21:59 | 三般南喰赤－ | バラク・オマタ(+46.0) 鳥谷タカシ(-7.0) 場代負け(-39.0)
C6529 | 22:11 | 三般南喰赤－ | ソギモギ皇帝(+82.0) ニートしたい(-23.0) さかかきばら(-59.0)
C6529 | 22:12 | 三般南喰赤－ | バラク・オマタ(+60.0) 場代負け(+4.0) 鳥谷タカシ(-64.0)
C6529 | 22:24 | 三般南喰赤－ | 場代負け(+69.0) バラク・オマタ(-23.0) ソギモギ皇帝(-46.0)
C6529 | 22:40 | 三般南喰赤－ | ニートしたい(+60.0) バラク・オマタ(-4.0) ソギモギ皇帝(-56.0)
C6529 | 22:59 | 三般南喰赤－ | ニートしたい(+42.0) ソギモギ皇帝(-1.0) 場代負け(-41.0)
C6529 | 23:10 | 三般南喰赤－ | バラク・オマタ(+34.0) 場代負け(-3.0) ニートしたい(-31.0)
C6529 | 23:19 | 三般南喰赤－ | バラク・オマタ(+40.0) ニートしたい(-4.0) ソギモギ皇帝(-36.0)
