第2シーズン
20200524
C6529 | 15:52 | 三般南喰赤祝 | バラク・オマタ(+77.0,+5枚) 場代負け(-7.0,+1枚) Toshi624(-70.0,-6枚)
C6529 | 16:04 | 三般南喰赤祝 | Toshi624(+46.0,-3枚) バラク・オマタ(-7.0,+2枚) 場代負け(-39.0,+1枚)
C6529 | 16:17 | 三般南喰赤祝 | Toshi624(+58.0,+9枚) 場代負け(-10.0,-2枚) バラク・オマタ(-48.0,-7枚)
C6529 | 16:38 | 三般南喰赤祝 | バラク・オマタ(+61.0,+1枚) ニートしたい(-6.0,+2枚) kitagaw(-55.0,-3枚)
C6529 | 16:51 | 三般南喰赤祝 | ニートしたい(+55.0,-2枚) バラク・オマタ(-1.0,+8枚) kitagaw(-54.0,-6枚)
C6529 | 17:04 | 三般南喰赤祝 | ニートしたい(+48.0,-3枚) kitagaw(-3.0,+2枚) バラク・オマタ(-45.0,+1枚)
C6529 | 19:15 | 三般南喰赤祝 | ソギモギ皇帝(+71.0,+2枚) さかかきばら(-18.0,+2枚) とぅーり王(-53.0,-4枚)
C6529 | 19:30 | 三般南喰赤祝 | とぅーり王(+66.0,+1枚) ソギモギ皇帝(+2.0,0枚) さかかきばら(-68.0,-1枚)
C6529 | 19:34 | 三般南喰赤祝 | バラク・オマタ(+51.0,0枚) 鳥谷タカシ(-9.0,-1枚) ニートしたい(-42.0,+1枚)
C6529 | 19:43 | 三般南喰赤祝 | さかかきばら(+60.0,+3枚) とぅーり王(-2.0,-2枚) ソギモギ皇帝(-58.0,-1枚)
C6529 | 19:47 | 三般南喰赤祝 | kitagaw(+48.0,+2枚) バラク・オマタ(-7.0,-3枚) 鳥谷タカシ(-41.0,+1枚)
C6529 | 19:55 | 三般南喰赤祝 | とぅーり王(+50.0,0枚) さかかきばら(-3.0,+2枚) ソギモギ皇帝(-47.0,-2枚)
C6529 | 20:01 | 三般南喰赤祝 | 鳥谷タカシ(+64.0,+4枚) kitagaw(+14.0,+3枚) バラク・オマタ(-78.0,-7枚)
C6529 | 20:12 | 三般南喰赤祝 | さかかきばら(+62.0,+6枚) とぅーり王(-14.0,-4枚) ソギモギ皇帝(-48.0,-2枚)
C6529 | 20:43 | 三般南喰赤祝 | さかかきばら(+63.0,+5枚) kitagaw(+4.0,0枚) ニートしたい(-67.0,-5枚)
C6529 | 20:58 | 三般南喰赤祝 | kitagaw(+53.0,+3枚) さかかきばら(-8.0,0枚) ニートしたい(-45.0,-3枚)
C6529 | 21:09 | 三般南喰赤祝 | ニートしたい(+44.0,0枚) さかかきばら(-4.0,-1枚) kitagaw(-40.0,+1枚)
C6529 | 21:27 | 三般南喰赤祝 | 場代負け(+46.0,-2枚) さかかきばら(-1.0,+2枚) Toshi624(-45.0,0枚)
C6529 | 21:40 | 三般南喰赤祝 | Toshi624(+42.0,+3枚) さかかきばら(-4.0,-4枚) 場代負け(-38.0,+1枚)
C6529 | 23:00 | 三般南喰赤祝 | バラク・オマタ(+76.0,+9枚) Toshi624(-1.0,-2枚) 鳥谷タカシ(-75.0,-7枚)
C6529 | 23:16 | 三般南喰赤祝 | Toshi624(+62.0,+2枚) 鳥谷タカシ(-5.0,+1枚) バラク・オマタ(-57.0,-3枚)
C6529 | 23:27 | 三般南喰赤祝 | Toshi624(+52.0,0枚) 鳥谷タカシ(-6.0,0枚) バラク・オマタ(-46.0,0枚)
C6529 | 23:40 | 三般南喰赤祝 | バラク・オマタ(+60.0,0枚) 鳥谷タカシ(-6.0,+1枚) Toshi624(-54.0,-1枚)
20200525
C6529 | 12:13 | 三般南喰赤祝 | 場代負け(+47.0,-2枚) バラク・オマタ(-5.0,+3枚) kitagaw(-42.0,-1枚)
C6529 | 12:26 | 三般南喰赤祝 | バラク・オマタ(+49.0,+3枚) kitagaw(-6.0,-2枚) 場代負け(-43.0,-1枚)
C6529 | 12:34 | 三般南喰赤祝 | バラク・オマタ(+69.0,+2枚) kitagaw(-10.0,0枚) 場代負け(-59.0,-2枚)
C6529 | 20:34 | 三般南喰赤祝 | バラク・オマタ(+48.0,+6枚) 場代負け(-3.0,-3枚) ニートしたい(-45.0,-3枚)
C6529 | 20:49 | 三般南喰赤祝 | ニートしたい(+50.0,+1枚) バラク・オマタ(0.0,-5枚) 場代負け(-50.0,+4枚)
C6529 | 21:05 | 三般南喰赤祝 | ニートしたい(+52.0,+3枚) 場代負け(-7.0,0枚) バラク・オマタ(-45.0,-3枚)
C6529 | 21:22 | 三般南喰赤祝 | 鳥谷タカシ(+123.0,+10枚) 場代負け(-19.0,-4枚) kitagaw(-104.0,-6枚)
C6529 | 21:45 | 三般南喰赤祝 | 場代負け(+67.0,0枚) kitagaw(-7.0,+2枚) 鳥谷タカシ(-60.0,-2枚)
C6529 | 22:05 | 三般南喰赤祝 | 場代負け(+95.0,+2枚) Toshi624(-27.0,-2枚) kitagaw(-68.0,0枚)
C6529 | 22:56 | 三般南喰赤祝 | ソギモギ皇帝(+82.0,+1枚) kitagaw(-6.0,+2枚) Toshi624(-76.0,-3枚)
C6529 | 23:24 | 三般南喰赤祝 | さかかきばら(+53.0,0枚) ニートしたい(-2.0,0枚) 鳥谷タカシ(-51.0,0枚)
C6529 | 23:42 | 三般南喰赤祝 | 鳥谷タカシ(+80.0,+3枚) ニートしたい(-20.0,+2枚) さかかきばら(-60.0,-5枚)
20200526
C6529 | 12:10 | 三般南喰赤祝 | 場代負け(+51.0,+2枚) さかかきばら(-3.0,-1枚) バラク・オマタ(-48.0,-1枚)
C6529 | 12:20 | 三般南喰赤祝 | バラク・オマタ(+48.0,-1枚) 場代負け(-4.0,+1枚) さかかきばら(-44.0,0枚)
C6529 | 18:40 | 三般南喰赤祝 | バラク・オマタ(+47.0,+2枚) ニートしたい(-5.0,-1枚) 場代負け(-42.0,-1枚)
C6529 | 18:53 | 三般南喰赤祝 | ニートしたい(+77.0,0枚) 場代負け(-5.0,+2枚) バラク・オマタ(-72.0,-2枚)
C6529 | 19:04 | 三般南喰赤祝 | バラク・オマタ(+54.0,-1枚) 場代負け(-9.0,+2枚) ニートしたい(-45.0,-1枚)
C6529 | 19:49 | 三般南喰赤祝 | バラク・オマタ(+62.0,+12枚) kitagaw(+13.0,-2枚) ソギモギ皇帝(-75.0,-10枚)
C6529 | 20:02 | 三般南喰赤祝 | ソギモギ皇帝(+79.0,-1枚) とぅーり王(-15.0,+7枚) kitagaw(-64.0,-6枚)
C6529 | 20:19 | 三般南喰赤祝 | kitagaw(+54.0,+6枚) とぅーり王(-3.0,-2枚) ソギモギ皇帝(-51.0,-4枚)
C6529 | 21:09 | 三般南喰赤祝 | ソギモギ皇帝(+62.0,+1枚) ニートしたい(-10.0,0枚) kitagaw(-52.0,-1枚)
C6529 | 21:25 | 三般南喰赤祝 | kitagaw(+59.0,+3枚) ソギモギ皇帝(+11.0,0枚) ニートしたい(-70.0,-3枚)
C6529 | 21:40 | 三般南喰赤祝 | ニートしたい(+72.0,+3枚) Toshi624(-5.0,0枚) kitagaw(-67.0,-3枚)
C6529 | 21:42 | 三般南喰赤祝 | ソギモギ皇帝(+49.0,-1枚) バラク・オマタ(-7.0,+5枚) さかかきばら(-42.0,-4枚)
C6529 | 21:55 | 三般南喰赤祝 | ソギモギ皇帝(+59.0,-1枚) バラク・オマタ(+8.0,+2枚) さかかきばら(-67.0,-1枚)
C6529 | 22:08 | 三般南喰赤祝 | ソギモギ皇帝(+46.0,+1枚) バラク・オマタ(-5.0,-3枚) さかかきばら(-41.0,+2枚)
C6529 | 22:24 | 三般南喰赤祝 | ソギモギ皇帝(+54.0,-7枚) さかかきばら(-7.0,-1枚) バラク・オマタ(-47.0,+8枚)
C6529 | 22:37 | 三般南喰赤祝 | ソギモギ皇帝(+48.0,+1枚) さかかきばら(-3.0,+6枚) 場代負け(-45.0,-7枚)
C6529 | 22:57 | 三般南喰赤祝 | とぅーり王(+42.0,-4枚) 鳥谷タカシ(-5.0,+4枚) さかかきばら(-37.0,0枚)
C6529 | 23:17 | 三般南喰赤祝 | 鳥谷タカシ(+61.0,+2枚) とぅーり王(+1.0,+3枚) さかかきばら(-62.0,-5枚)
C6529 | 23:38 | 三般南喰赤祝 | 鳥谷タカシ(+65.0,+3枚) とぅーり王(-2.0,0枚) さかかきばら(-63.0,-3枚)
20200527
C6529 | 12:47 | 三般南喰赤祝 | Toshi624(+102.0,+1枚) さかかきばら(-13.0,+5枚) バラク・オマタ(-89.0,-6枚)
C6529 | 13:08 | 三般南喰赤祝 | さかかきばら(+52.0,+1枚) バラク・オマタ(+7.0,+7枚) kitagaw(-59.0,-8枚)
C6529 | 13:23 | 三般南喰赤祝 | kitagaw(+49.0,+4枚) さかかきばら(-1.0,-1枚) バラク・オマタ(-48.0,-3枚)
C6529 | 13:33 | 三般南喰赤祝 | kitagaw(+75.0,+1枚) バラク・オマタ(-8.0,+1枚) さかかきばら(-67.0,-2枚)
C6529 | 13:48 | 三般南喰赤祝 | kitagaw(+60.0,+4枚) バラク・オマタ(+3.0,-1枚) さかかきばら(-63.0,-3枚)
C6529 | 19:51 | 三般南喰赤祝 | Toshi624(+95.0,+34枚) バラク・オマタ(-17.0,-15枚) 場代負け(-78.0,-19枚)
C6529 | 20:04 | 三般南喰赤祝 | バラク・オマタ(+50.0,-4枚) Toshi624(-4.0,-1枚) 場代負け(-46.0,+5枚)
C6529 | 20:18 | 三般南喰赤祝 | 場代負け(+70.0,+7枚) バラク・オマタ(-18.0,-3枚) Toshi624(-52.0,-4枚)
C6529 | 20:40 | 三般南喰赤祝 | 鳥谷タカシ(+47.0,+1枚) バラク・オマタ(-8.0,+3枚) 場代負け(-39.0,-4枚)
C6529 | 21:32 | 三般南喰赤祝 | さかかきばら(+58.0,0枚) 場代負け(+8.0,+1枚) 鳥谷タカシ(-66.0,-1枚)
C6529 | 21:51 | 三般南喰赤祝 | さかかきばら(+64.0,-4枚) 場代負け(-13.0,+4枚) 鳥谷タカシ(-51.0,0枚)
C6529 | 22:07 | 三般南喰赤祝 | とぅーり王(+52.0,0枚) 場代負け(+6.0,0枚) さかかきばら(-58.0,0枚)
C6529 | 22:20 | 三般南喰赤祝 | さかかきばら(+74.0,+4枚) とぅーり王(-16.0,-2枚) 場代負け(-58.0,-2枚)
