第3シーズン
20200701
C5449 | 20:50 | 三般南喰赤祝 | さかかきばら(+83.0,+3枚) kitagaw(-35.0,+4枚) 鳥谷タカシ(-48.0,-7枚)
C5449 | 21:10 | 三般南喰赤祝 | 鳥谷タカシ(+59.0,+2枚) さかかきばら(-23.0,-1枚) kitagaw(-36.0,-1枚)
C5449 | 21:20 | 三般南喰赤祝 | 鳥谷タカシ(+63.0,+4枚) kitagaw(-24.0,-1枚) さかかきばら(-39.0,-3枚)
C5449 | 21:32 | 三般南喰赤祝 | 鳥谷タカシ(+86.0,+6枚) kitagaw(+1.0,+2枚) さかかきばら(-87.0,-8枚)
C5449 | 21:43 | 三般南喰赤祝 | kitagaw(+64.0,+11枚) 鳥谷タカシ(-21.0,-3枚) さかかきばら(-43.0,-8枚)
C5449 | 22:04 | 三般南喰赤祝 | kitagaw(+30.0,+3枚) 場代負け(-5.0,-3枚) さかかきばら(-25.0,0枚)
C5449 | 22:21 | 三般南喰赤祝 | kitagaw(+81.0,+1枚) 場代負け(-30.0,+1枚) さかかきばら(-51.0,-2枚)
C5449 | 22:36 | 三般南喰赤祝 | 場代負け(+68.0,-2枚) さかかきばら(-21.0,0枚) 鳥谷タカシ(-47.0,+2枚)
C5449 | 23:00 | 三般南喰赤祝 | 場代負け(+60.0,+5枚) 鳥谷タカシ(-24.0,0枚) さかかきばら(-36.0,-5枚)
C5449 | 23:13 | 三般南喰赤祝 | 鳥谷タカシ(+75.0,+11枚) バラク・オマタ(-31.0,-6枚) さかかきばら(-44.0,-5枚)
C5449 | 23:23 | 三般南喰赤祝 | さかかきばら(+67.0,+2枚) 鳥谷タカシ(-26.0,-2枚) バラク・オマタ(-41.0,0枚)
C5449 | 23:35 | 三般南喰赤祝 | さかかきばら(+60.0,+3枚) 鳥谷タカシ(-21.0,0枚) バラク・オマタ(-39.0,-3枚)
C5449 | 23:44 | 三般南喰赤祝 | 鳥谷タカシ(+48.0,-2枚) バラク・オマタ(+2.0,+3枚) さかかきばら(-50.0,-1枚)
20200702
C5449 | 00:06 | 三般南喰赤祝 | kitagaw(+73.0,+4枚) Toshi624(+22.0,+4枚) バラク・オマタ(-95.0,-8枚)
C5449 | 21:11 | 三般南喰赤祝 | バラク・オマタ(+44.8,-3枚) 鳥谷タカシ(-3.1,+5枚) kitagaw(-41.7,-2枚)
C5449 | 21:20 | 三般南喰赤祝 | kitagaw(+90.6,-1枚) バラク・オマタ(-25.2,+3枚) 鳥谷タカシ(-65.4,-2枚)
C5449 | 21:37 | 三般南喰赤祝 | バラク・オマタ(+43.6,-1枚) kitagaw(-3.0,-1枚) 鳥谷タカシ(-40.6,+2枚)
C5449 | 21:46 | 三般南喰赤祝 | バラク・オマタ(+59.1,+1枚) kitagaw(-1.8,+3枚) 鳥谷タカシ(-57.3,-4枚)
C5449 | 22:59 | 三般南喰赤祝 | 鳥谷タカシ(+79.5,+7枚) ソギモギ皇帝(-23.0,-3枚) kitagaw(-56.5,-4枚)
C5449 | 23:14 | 三般南喰赤祝 | ソギモギ皇帝(+52.5,+5枚) 鳥谷タカシ(+0.4,0枚) kitagaw(-52.9,-5枚)
C5449 | 23:34 | 三般南喰赤祝 | ソギモギ皇帝(+77.9,0枚) kitagaw(-19.5,+1枚) 鳥谷タカシ(-58.4,-1枚)
C5449 | 23:48 | 三般南喰赤祝 | kitagaw(+74.0,+1枚) ソギモギ皇帝(-17.0,0枚) Toshi624(-57.0,-1枚)
20200703
C5449 | 00:04 | 三般南喰赤祝 | ソギモギ皇帝(+49.1,0枚) kitagaw(-0.1,0枚) Toshi624(-49.0,0枚)
C5449 | 12:05 | 三般南喰赤祝 | kitagaw(+49.9,-2枚) バラク・オマタ(+3.5,+2枚) 鳥谷タカシ(-53.4,0枚)
C5449 | 12:16 | 三般南喰赤祝 | バラク・オマタ(+58.7,+6枚) 鳥谷タカシ(+7.6,+5枚) kitagaw(-66.3,-11枚)
C5449 | 12:32 | 三般南喰赤祝 | 鳥谷タカシ(+46.3,+10枚) バラク・オマタ(-0.1,-5枚) kitagaw(-46.2,-5枚)
C5449 | 12:47 | 三般南喰赤祝 | バラク・オマタ(+68.8,+5枚) kitagaw(-5.0,+1枚) 鳥谷タカシ(-63.8,-6枚)
20200704
